,zm_id,zm_nombre
0,01.1.01,Zona metropolitana de Aguascalientes
1,02.1.01,Zona metropolitana de Tijuana
2,02.2.02,Metrópoli municipal de Ensenada
3,02.2.03,Metrópoli municipal de Mexicali
4,03.2.01,Metrópoli municipal de La Paz
5,03.2.02,Metrópoli municipal de Los Cabos
6,04.2.01,Metrópoli municipal de Campeche
7,05.1.01,Zona metropolitana de La Laguna
8,05.1.02,Zona metropolitana de Monclova-Frontera
9,05.1.03,Zona metropolitana de Piedras Negras
10,05.1.04,Zona metropolitana de Saltillo
11,06.1.01,Zona metropolitana de Colima-Villa de Álvarez
12,07.1.01,Zona metropolitana de Tapachula
13,07.1.02,Zona metropolitana de Tuxtla Gutiérrez
14,08.1.01,Zona metropolitana de Chihuahua
15,08.1.02,Zona metropolitana de Delicias
16,08.2.03,Metrópoli municipal de Ciudad Juárez
17,09.1.01,Zona metropolitana de la Ciudad de México
18,10.2.01,Metrópoli municipal de Durango
19,11.1.01,Zona metropolitana de Celaya
20,11.1.02,Zona metropolitana de León
21,11.2.03,Metrópoli municipal de Guanajuato
22,11.2.04,Metrópoli municipal de Irapuato
23,12.1.01,Zona metropolitana de Chilpancingo
24,12.2.02,Metrópoli municipal de Acapulco
25,13.1.01,Zona metropolitana de Pachuca
26,13.1.02,Zona metropolitana de Tulancingo
27,14.1.01,Zona metropolitana de Guadalajara
28,14.1.02,Zona metropolitana de Puerto Vallarta
29,15.1.01,Zona metropolitana de Toluca
30,16.1.01,Zona metropolitana de La Piedad-Pénjamo
31,16.1.02,Zona metropolitana de Morelia
32,16.1.03,Zona metropolitana de Zamora
33,16.2.04,Metrópoli municipal de Uruapan
34,17.1.01,Zona metropolitana de Cuautla
35,17.1.02,Zona metropolitana de Cuernavaca
36,18.1.01,Zona metropolitana de Tepic
37,19.1.01,Zona metropolitana de Monterrey
38,20.1.01,Zona metropolitana de Oaxaca
39,21.1.01,Zona metropolitana de Puebla-Tlaxcala
40,21.1.02,Zona metropolitana de San Martín Texmelucan
41,21.1.03,Zona metropolitana de Tehuacán
42,22.1.01,Zona metropolitana de Querétaro
43,23.1.01,Zona metropolitana de Cancún
44,23.2.02,Metrópoli municipal de Chetumal
45,23.2.03,Metrópoli municipal de Playa del Carmen
46,24.1.01,Zona metropolitana de San Luis Potosí
47,25.2.01,Metrópoli municipal de Culiacán
48,25.2.02,Metrópoli municipal de Los Mochis
49,25.2.03,Metrópoli municipal de Mazatlán
50,26.1.01,Zona metropolitana de Guaymas
51,26.2.02,Metrópoli municipal de Ciudad Obregón
52,26.2.03,Metrópoli municipal de Hermosillo
53,26.2.04,Metrópoli municipal de Nogales
54,27.1.01,Zona metropolitana de Villahermosa
55,28.1.01,Zona metropolitana de Reynosa
56,28.1.02,Zona metropolitana de Tampico
57,28.2.03,Metrópoli municipal de Ciudad Victoria
58,28.2.04,Metrópoli municipal de Matamoros
59,28.2.05,Metrópoli municipal de Nuevo Laredo
60,29.1.01,Zona metropolitana de Tlaxcala-Apizaco
61,30.1.01,Zona metropolitana de Coatzacoalcos
62,30.1.02,Zona metropolitana de Córdoba
63,30.1.03,Zona metropolitana de Minatitlán
64,30.1.04,Zona metropolitana de Orizaba
65,30.1.05,Zona metropolitana de Poza Rica
66,30.1.06,Zona metropolitana de Veracruz
67,30.1.07,Zona metropolitana de Xalapa
68,31.1.01,Zona metropolitana de Mérida
69,32.1.01,Zona metropolitana de Zacatecas-Guadalupe
